&quot;1&quot;;&quot;14.99&quot;;NULL;&quot;1&quot;;&quot;5&quot;;&quot;10&quot;
&quot;2&quot;;&quot;14.90&quot;;NULL;&quot;1&quot;;&quot;53&quot;;&quot;19&quot;
&quot;3&quot;;&quot;499.99&quot;;NULL;&quot;1&quot;;&quot;53&quot;;&quot;22&quot;
&quot;4&quot;;&quot;9.90&quot;;NULL;&quot;1&quot;;&quot;17&quot;;&quot;32&quot;
&quot;5&quot;;&quot;88.00&quot;;NULL;&quot;1&quot;;&quot;72&quot;;&quot;12&quot;
&quot;6&quot;;&quot;288.32&quot;;NULL;&quot;1&quot;;&quot;20&quot;;&quot;28&quot;
&quot;7&quot;;&quot;32.50&quot;;NULL;&quot;1&quot;;&quot;56&quot;;&quot;29&quot;
&quot;8&quot;;&quot;88.00&quot;;NULL;&quot;1&quot;;&quot;74&quot;;&quot;12&quot;
&quot;9&quot;;&quot;110.00&quot;;&quot;10.00&quot;;&quot;1&quot;;&quot;47&quot;;&quot;7&quot;
&quot;10&quot;;&quot;9.98&quot;;NULL;&quot;1&quot;;&quot;16&quot;;&quot;24&quot;
&quot;11&quot;;&quot;157.00&quot;;NULL;&quot;1&quot;;&quot;70&quot;;&quot;25&quot;
&quot;12&quot;;&quot;149.97&quot;;NULL;&quot;1&quot;;&quot;37&quot;;&quot;30&quot;
&quot;13&quot;;&quot;49.00&quot;;NULL;&quot;1&quot;;&quot;8&quot;;&quot;13&quot;
&quot;14&quot;;&quot;88.00&quot;;NULL;&quot;1&quot;;&quot;32&quot;;&quot;14&quot;
&quot;15&quot;;&quot;245.00&quot;;&quot;10.00&quot;;&quot;1&quot;;&quot;7&quot;;&quot;31&quot;
&quot;16&quot;;&quot;110.00&quot;;&quot;10.00&quot;;&quot;1&quot;;&quot;75&quot;;&quot;7&quot;
&quot;17&quot;;&quot;245.00&quot;;NULL;&quot;1&quot;;&quot;79&quot;;&quot;31&quot;
&quot;18&quot;;&quot;31.19&quot;;NULL;&quot;1&quot;;&quot;29&quot;;&quot;18&quot;
&quot;19&quot;;&quot;149.97&quot;;NULL;&quot;1&quot;;&quot;91&quot;;&quot;30&quot;
&quot;20&quot;;&quot;31.19&quot;;NULL;&quot;1&quot;;&quot;54&quot;;&quot;18&quot;
&quot;21&quot;;&quot;88.00&quot;;NULL;&quot;1&quot;;&quot;68&quot;;&quot;12&quot;
&quot;22&quot;;&quot;599.99&quot;;NULL;&quot;1&quot;;&quot;35&quot;;&quot;21&quot;
&quot;23&quot;;&quot;49.00&quot;;NULL;&quot;1&quot;;&quot;24&quot;;&quot;13&quot;
&quot;24&quot;;&quot;245.00&quot;;NULL;&quot;1&quot;;&quot;78&quot;;&quot;31&quot;
&quot;25&quot;;&quot;299.40&quot;;NULL;&quot;1&quot;;&quot;94&quot;;&quot;26&quot;
&quot;26&quot;;&quot;110.00&quot;;&quot;10.00&quot;;&quot;1&quot;;&quot;35&quot;;&quot;7&quot;
&quot;27&quot;;&quot;135.90&quot;;NULL;&quot;1&quot;;&quot;77&quot;;&quot;11&quot;
&quot;28&quot;;&quot;12.00&quot;;NULL;&quot;1&quot;;&quot;83&quot;;&quot;23&quot;
&quot;29&quot;;&quot;157.00&quot;;NULL;&quot;1&quot;;&quot;81&quot;;&quot;25&quot;
&quot;30&quot;;&quot;299.40&quot;;NULL;&quot;1&quot;;&quot;48&quot;;&quot;26&quot;
&quot;31&quot;;&quot;288.32&quot;;NULL;&quot;1&quot;;&quot;95&quot;;&quot;28&quot;
&quot;32&quot;;&quot;110.00&quot;;&quot;10.00&quot;;&quot;1&quot;;&quot;75&quot;;&quot;7&quot;
&quot;33&quot;;&quot;49.00&quot;;NULL;&quot;1&quot;;&quot;31&quot;;&quot;13&quot;
&quot;34&quot;;&quot;19.90&quot;;NULL;&quot;1&quot;;&quot;97&quot;;&quot;16&quot;
&quot;35&quot;;&quot;49.00&quot;;NULL;&quot;1&quot;;&quot;68&quot;;&quot;13&quot;
&quot;36&quot;;&quot;14.99&quot;;NULL;&quot;1&quot;;&quot;47&quot;;&quot;10&quot;
&quot;37&quot;;&quot;245.00&quot;;NULL;&quot;1&quot;;&quot;55&quot;;&quot;31&quot;
&quot;38&quot;;&quot;249.99&quot;;NULL;&quot;1&quot;;&quot;63&quot;;&quot;8&quot;
&quot;39&quot;;&quot;49.00&quot;;NULL;&quot;1&quot;;&quot;14&quot;;&quot;13&quot;
&quot;40&quot;;&quot;54.49&quot;;NULL;&quot;1&quot;;&quot;40&quot;;&quot;15&quot;
&quot;41&quot;;&quot;49.00&quot;;NULL;&quot;1&quot;;&quot;90&quot;;&quot;13&quot;
&quot;42&quot;;&quot;14.99&quot;;NULL;&quot;1&quot;;&quot;63&quot;;&quot;10&quot;
&quot;43&quot;;&quot;245.00&quot;;NULL;&quot;1&quot;;&quot;42&quot;;&quot;31&quot;
&quot;44&quot;;&quot;31.19&quot;;NULL;&quot;1&quot;;&quot;66&quot;;&quot;18&quot;
&quot;45&quot;;&quot;89.00&quot;;NULL;&quot;1&quot;;&quot;26&quot;;&quot;27&quot;
&quot;46&quot;;&quot;110.00&quot;;&quot;10.00&quot;;&quot;1&quot;;&quot;87&quot;;&quot;7&quot;
&quot;47&quot;;&quot;9.90&quot;;NULL;&quot;1&quot;;&quot;11&quot;;&quot;32&quot;
&quot;48&quot;;&quot;249.99&quot;;NULL;&quot;10&quot;;&quot;9&quot;;&quot;8&quot;
&quot;49&quot;;&quot;599.99&quot;;NULL;&quot;1&quot;;&quot;93&quot;;&quot;21&quot;
&quot;50&quot;;&quot;19.90&quot;;NULL;&quot;1&quot;;&quot;81&quot;;&quot;16&quot;
&quot;51&quot;;&quot;135.90&quot;;NULL;&quot;1&quot;;&quot;47&quot;;&quot;11&quot;
&quot;52&quot;;&quot;157.00&quot;;NULL;&quot;1&quot;;&quot;70&quot;;&quot;25&quot;
&quot;53&quot;;&quot;110.00&quot;;&quot;10.00&quot;;&quot;1&quot;;&quot;6&quot;;&quot;7&quot;
&quot;54&quot;;&quot;499.99&quot;;NULL;&quot;1&quot;;&quot;61&quot;;&quot;22&quot;
&quot;55&quot;;&quot;32.50&quot;;NULL;&quot;1&quot;;&quot;89&quot;;&quot;29&quot;
&quot;56&quot;;&quot;135.90&quot;;NULL;&quot;1&quot;;&quot;67&quot;;&quot;11&quot;
&quot;57&quot;;&quot;49.00&quot;;NULL;&quot;1&quot;;&quot;11&quot;;&quot;13&quot;
&quot;58&quot;;&quot;9.90&quot;;NULL;&quot;1&quot;;&quot;96&quot;;&quot;32&quot;
&quot;59&quot;;&quot;157.00&quot;;NULL;&quot;1&quot;;&quot;41&quot;;&quot;25&quot;
&quot;60&quot;;&quot;245.00&quot;;NULL;&quot;1&quot;;&quot;60&quot;;&quot;31&quot;
&quot;61&quot;;&quot;19.90&quot;;NULL;&quot;1&quot;;&quot;16&quot;;&quot;16&quot;
&quot;62&quot;;&quot;499.99&quot;;NULL;&quot;1&quot;;&quot;8&quot;;&quot;22&quot;
&quot;63&quot;;&quot;249.99&quot;;NULL;&quot;1&quot;;&quot;19&quot;;&quot;8&quot;
&quot;64&quot;;&quot;110.00&quot;;&quot;10.00&quot;;&quot;1&quot;;&quot;54&quot;;&quot;7&quot;
&quot;65&quot;;&quot;299.40&quot;;NULL;&quot;1&quot;;&quot;62&quot;;&quot;26&quot;
&quot;66&quot;;&quot;135.90&quot;;NULL;&quot;1&quot;;&quot;56&quot;;&quot;11&quot;
&quot;67&quot;;&quot;149.97&quot;;NULL;&quot;1&quot;;&quot;52&quot;;&quot;30&quot;
&quot;68&quot;;&quot;245.00&quot;;NULL;&quot;1&quot;;&quot;53&quot;;&quot;31&quot;
&quot;69&quot;;&quot;19.90&quot;;NULL;&quot;1&quot;;&quot;52&quot;;&quot;16&quot;
&quot;70&quot;;&quot;9.98&quot;;NULL;&quot;1&quot;;&quot;21&quot;;&quot;24&quot;
&quot;71&quot;;&quot;9.90&quot;;NULL;&quot;1&quot;;&quot;23&quot;;&quot;32&quot;
&quot;72&quot;;&quot;14.99&quot;;NULL;&quot;1&quot;;&quot;37&quot;;&quot;10&quot;
&quot;73&quot;;&quot;149.97&quot;;NULL;&quot;1&quot;;&quot;27&quot;;&quot;30&quot;
&quot;74&quot;;&quot;32.50&quot;;NULL;&quot;1&quot;;&quot;60&quot;;&quot;29&quot;
&quot;75&quot;;&quot;32.50&quot;;NULL;&quot;1&quot;;&quot;40&quot;;&quot;29&quot;
&quot;76&quot;;&quot;14.90&quot;;NULL;&quot;1&quot;;&quot;54&quot;;&quot;19&quot;
&quot;77&quot;;&quot;88.00&quot;;NULL;&quot;1&quot;;&quot;25&quot;;&quot;14&quot;
&quot;78&quot;;&quot;88.00&quot;;NULL;&quot;1&quot;;&quot;85&quot;;&quot;12&quot;
&quot;79&quot;;&quot;599.99&quot;;NULL;&quot;1&quot;;&quot;51&quot;;&quot;21&quot;
&quot;80&quot;;&quot;599.99&quot;;NULL;&quot;1&quot;;&quot;2&quot;;&quot;21&quot;
&quot;81&quot;;&quot;14.99&quot;;NULL;&quot;1&quot;;&quot;97&quot;;&quot;10&quot;
&quot;82&quot;;&quot;9.90&quot;;NULL;&quot;1&quot;;&quot;37&quot;;&quot;32&quot;
&quot;83&quot;;&quot;9.98&quot;;NULL;&quot;1&quot;;&quot;47&quot;;&quot;24&quot;
&quot;84&quot;;&quot;14.90&quot;;NULL;&quot;1&quot;;&quot;70&quot;;&quot;19&quot;
&quot;85&quot;;&quot;49.00&quot;;NULL;&quot;1&quot;;&quot;43&quot;;&quot;13&quot;
&quot;86&quot;;&quot;31.19&quot;;NULL;&quot;1&quot;;&quot;56&quot;;&quot;20&quot;
&quot;87&quot;;&quot;19.90&quot;;NULL;&quot;1&quot;;&quot;72&quot;;&quot;16&quot;
&quot;88&quot;;&quot;245.00&quot;;NULL;&quot;1&quot;;&quot;20&quot;;&quot;31&quot;
&quot;89&quot;;&quot;31.19&quot;;NULL;&quot;1&quot;;&quot;4&quot;;&quot;20&quot;
&quot;90&quot;;&quot;54.49&quot;;NULL;&quot;1&quot;;&quot;86&quot;;&quot;15&quot;
&quot;91&quot;;&quot;24.90&quot;;NULL;&quot;1&quot;;&quot;14&quot;;&quot;17&quot;
&quot;92&quot;;&quot;249.99&quot;;NULL;&quot;1&quot;;&quot;67&quot;;&quot;8&quot;
&quot;93&quot;;&quot;288.32&quot;;NULL;&quot;1&quot;;&quot;6&quot;;&quot;28&quot;
&quot;94&quot;;&quot;110.00&quot;;&quot;10.00&quot;;&quot;1&quot;;&quot;58&quot;;&quot;7&quot;
&quot;95&quot;;&quot;110.00&quot;;&quot;20.00&quot;;&quot;2&quot;;&quot;12&quot;;&quot;7&quot;
&quot;96&quot;;&quot;88.00&quot;;NULL;&quot;1&quot;;&quot;100&quot;;&quot;12&quot;
&quot;97&quot;;&quot;88.00&quot;;NULL;&quot;1&quot;;&quot;48&quot;;&quot;12&quot;
&quot;98&quot;;&quot;245.00&quot;;NULL;&quot;1&quot;;&quot;17&quot;;&quot;31&quot;
&quot;99&quot;;&quot;88.00&quot;;NULL;&quot;1&quot;;&quot;39&quot;;&quot;12&quot;
&quot;100&quot;;&quot;149.97&quot;;NULL;&quot;1&quot;;&quot;15&quot;;&quot;30&quot;